 #root estimate,    iteration step
   0.00000000               1
   2.00000000               2
   1.00000000               3
   1.50000000               4
   1.25000000               5
   1.37500000               6
   1.31250000               7
   1.34375000               8
   1.32812500               9
   1.32031250              10
   1.31640625              11
   1.31835938              12
   1.31933594              13
   1.31884766              14
   1.31909180              15
   1.31896973              16
   1.31903076              17
   1.31906128              18
   1.31907654              19
   1.31906891              20
   1.31907272              21
   1.31907463              22
   1.31907368              23
   1.31907320              24
   1.31907344              25
   1.31907356              26
   1.31907368              27
